seniorcitizen,tenure,monthlycharges,gender_Male,dependents_Yes,phoneservice_Yes,multiplelines_Yes,internetservice_Fiber optic,contract_One year,contract_Two year,contract_Month-to-month,churn_Yes
0.0,0.0138888888888888,0.0693069306930693,False,False,False,False,False,0.0,0.0,1.0,True
0.0,0.5694444444444444,0.0693069306930693,True,False,True,False,False,1.0,0.0,0.0,False
0.0,0.7222222222222222,0.0099009900990099,False,True,True,False,False,0.0,0.0,1.0,False
0.0,0.0138888888888888,0.5742574257425743,False,False,True,False,False,1.0,0.0,0.0,True
0.0,0.9305555555555556,0.3267326732673267,True,False,True,False,True,0.0,0.0,1.0,False
1.0,0.9444444444444444,0.7128712871287128,False,False,True,True,True,0.0,0.0,1.0,True
0.0,0.3194444444444444,0.5841584158415842,False,True,True,True,True,0.0,0.0,1.0,False
0.0,1.0,0.5346534653465347,True,True,True,False,False,0.0,0.0,1.0,False
0.0,0.9722222222222222,0.8514851485148516,True,False,True,True,True,0.0,0.0,1.0,True
0.0,0.0138888888888888,0.0099009900990099,True,False,True,False,False,1.0,0.0,0.0,True
0.0,0.0138888888888888,0.0198019801980198,True,False,True,False,False,0.0,0.0,1.0,False
0.0,0.4722222222222222,0.6534653465346534,True,True,True,False,False,0.0,1.0,0.0,False
1.0,0.3888888888888888,0.3267326732673267,True,True,True,True,True,1.0,0.0,0.0,False
1.0,0.25,0.6633663366336633,False,False,True,True,True,0.0,0.0,1.0,True
0.0,0.2083333333333333,0.0198019801980198,False,False,True,False,True,0.0,0.0,1.0,False
1.0,0.1527777777777777,0.7623762376237624,False,False,True,True,True,0.0,1.0,0.0,True
0.0,0.1527777777777777,0.3564356435643565,True,False,True,False,False,1.0,0.0,0.0,True
0.0,0.0138888888888888,0.5148514851485149,True,True,True,True,True,0.0,1.0,0.0,True
0.0,0.5138888888888888,0.7029702970297029,False,True,True,False,False,0.0,0.0,1.0,False
0.0,0.3055555555555555,0.7029702970297029,True,True,True,False,True,0.0,0.0,1.0,True
0.0,0.0138888888888888,0.5148514851485149,False,False,True,False,False,0.0,0.0,1.0,False
0.0,0.0138888888888888,0.0099009900990099,False,True,True,False,False,1.0,0.0,0.0,False
0.0,0.6388888888888888,0.613861386138614,True,True,True,False,False,0.0,0.0,1.0,False
0.0,0.7083333333333333,0.8811881188118813,False,False,True,True,False,0.0,1.0,0.0,False
0.0,0.5694444444444444,0.8514851485148516,False,False,True,False,False,0.0,0.0,1.0,False
0.0,0.0694444444444444,0.4950495049504951,False,False,True,False,False,0.0,0.0,1.0,True
0.0,0.625,0.7029702970297029,False,False,True,True,True,0.0,0.0,1.0,True
0.0,0.4027777777777777,0.4158415841584158,True,True,True,False,False,0.0,0.0,1.0,False
1.0,0.2083333333333333,0.7326732673267327,False,False,True,True,False,0.0,1.0,0.0,False
0.0,1.0,0.4554455445544554,True,False,False,False,False,0.0,0.0,1.0,False
0.0,0.6944444444444444,0.8514851485148516,True,False,True,True,True,0.0,1.0,0.0,False
0.0,0.375,0.0297029702970297,True,True,True,False,True,0.0,0.0,1.0,False
0.0,1.0,0.6633663366336633,True,False,True,False,False,1.0,0.0,0.0,False
0.0,0.7083333333333333,0.5148514851485149,False,True,True,False,False,0.0,0.0,1.0,False
0.0,0.8333333333333333,0.7524752475247525,False,False,True,False,False,0.0,0.0,1.0,False
0.0,0.2361111111111111,0.0099009900990099,True,False,True,True,True,0.0,1.0,0.0,False
0.0,1.0,0.0297029702970297,False,False,True,False,True,0.0,0.0,1.0,False
0.0,0.4583333333333333,0.8514851485148516,False,False,True,False,True,0.0,0.0,1.0,True
1.0,0.9166666666666666,0.8613861386138615,False,True,True,True,True,0.0,0.0,1.0,False
0.0,0.9583333333333331,0.8514851485148516,False,True,True,True,True,0.0,0.0,1.0,True
0.0,0.0694444444444444,0.5148514851485149,True,False,True,False,False,1.0,0.0,0.0,True
0.0,0.7916666666666666,0.8217821782178218,False,False,True,True,False,0.0,1.0,0.0,False
1.0,0.1111111111111111,0.5742574257425743,False,False,True,False,False,1.0,0.0,0.0,True
0.0,0.1944444444444444,0.3267326732673267,False,False,True,True,False,0.0,1.0,0.0,False
0.0,0.3472222222222222,0.7623762376237624,True,False,True,True,False,0.0,0.0,1.0,True
0.0,0.7222222222222222,0.0198019801980198,False,True,True,True,True,0.0,0.0,1.0,False
1.0,0.0972222222222222,0.5742574257425743,False,False,True,False,False,0.0,0.0,1.0,True
0.0,0.1805555555555555,0.613861386138614,True,False,True,False,True,0.0,0.0,1.0,True
1.0,0.2083333333333333,0.7128712871287128,False,False,True,True,False,0.0,1.0,0.0,True
0.0,0.3055555555555555,0.3663366336633664,True,False,True,True,False,0.0,1.0,0.0,True
0.0,0.2638888888888889,0.0198019801980198,False,False,True,True,True,0.0,0.0,1.0,False
0.0,0.3194444444444444,0.1188118811881188,True,True,False,False,True,0.0,0.0,1.0,False
0.0,1.0,0.9504950495049508,False,False,True,True,False,0.0,0.0,1.0,False
1.0,1.0,0.7920792079207921,True,False,True,True,True,0.0,0.0,1.0,False
0.0,0.8194444444444444,0.7821782178217822,False,True,True,False,False,1.0,0.0,0.0,False
0.0,0.9722222222222222,0.5643564356435644,False,True,True,True,True,0.0,0.0,1.0,False
0.0,0.9722222222222222,0.8217821782178218,True,True,True,True,True,1.0,0.0,0.0,False
0.0,0.125,0.8415841584158417,True,True,True,True,True,1.0,0.0,0.0,False
0.0,0.0416666666666666,0.0693069306930693,False,False,True,True,False,0.0,1.0,0.0,False
1.0,0.2361111111111111,0.8316831683168318,True,False,True,True,True,0.0,1.0,0.0,False
0.0,0.3888888888888888,0.5148514851485149,False,True,True,True,True,0.0,0.0,1.0,False
0.0,0.1388888888888889,0.3564356435643565,False,False,True,True,True,0.0,0.0,1.0,False
0.0,0.1527777777777777,0.0297029702970297,True,True,True,False,False,0.0,1.0,0.0,False
1.0,1.0,0.8415841584158417,True,False,True,False,False,1.0,0.0,0.0,False
