,SeniorCitizen,tenure,MonthlyCharges,gender_1,Dependents_1,PhoneService_1,MultipleLines_1,InternetService_1,Contract_1,Contract_2,Churn_1
3757,0,1,60,1,1,1,0,0,0,1,0
3165,0,30,55,0,0,1,0,0,1,0,0
4912,1,46,100,0,0,1,1,1,0,0,0
3877,0,43,66,1,0,1,0,0,1,0,0
3818,0,1,20,1,0,1,1,1,0,1,0
2686,0,10,25,1,1,1,1,1,0,0,0
2668,0,72,65,1,1,0,0,0,0,0,0
197,0,66,57,1,0,0,1,1,0,0,0
5804,0,67,21,0,0,1,1,0,0,1,0
2282,0,35,50,0,1,1,1,1,0,0,0
2667,0,72,108,1,1,1,1,1,0,1,0
6959,0,37,40,0,0,0,0,1,1,0,0
3952,0,72,106,1,1,1,1,1,0,1,0
2778,0,12,85,1,0,1,0,1,1,0,0
3127,0,50,76,1,1,1,0,0,0,0,0
3016,1,63,36,1,0,0,0,0,0,0,0
5477,0,19,87,0,0,1,1,0,0,1,0
328,0,18,70,1,0,1,0,0,0,0,0
12,1,28,51,1,1,1,1,1,1,0,0
4611,0,28,93,1,1,1,1,0,0,1,0
6302,0,35,90,1,1,1,1,1,0,0,0
6264,0,1,20,0,0,1,0,1,0,1,0
3761,0,14,31,1,0,0,1,0,0,1,0
6943,0,35,107,0,1,1,0,0,0,0,0
647,0,1,20,0,0,1,1,0,1,0,0
6952,0,58,102,0,0,1,1,1,0,0,1
1035,0,28,105,0,0,1,1,0,0,1,1
6391,0,5,80,1,1,1,1,0,1,0,1
2609,0,71,74,1,0,1,1,1,0,0,0
425,0,21,97,0,0,1,1,0,0,0,1
2966,0,52,58,0,0,1,0,0,0,0,0
1221,0,15,99,0,0,1,0,0,0,0,1
6245,0,21,82,1,0,1,1,0,1,0,1
2454,0,60,21,0,0,1,1,0,0,1,0
4866,0,66,97,1,0,1,1,0,0,0,0
708,1,15,75,0,0,1,0,1,0,0,1
594,0,33,70,0,0,1,0,0,0,0,0
5729,0,10,24,1,1,1,0,0,0,0,0
1211,0,72,75,1,1,1,1,0,0,0,0
5532,1,40,56,1,0,1,0,0,0,1,0
3277,0,30,49,0,0,1,0,0,1,0,0
7006,0,3,77,1,0,1,1,1,0,0,0
4451,1,69,57,1,0,0,1,1,0,0,0
4317,0,57,95,0,0,1,0,0,1,0,1
6801,0,72,116,0,0,1,1,1,1,0,0
2448,0,22,59,1,0,1,1,1,0,0,1
5390,0,49,36,0,1,0,1,1,0,0,0
3145,0,29,20,0,0,1,0,1,0,0,0
3858,1,34,80,0,1,1,0,0,1,0,1
4115,0,2,51,0,0,1,1,0,1,0,0
2674,0,35,21,1,0,1,0,0,0,0,0
6690,0,6,91,0,0,1,1,1,0,1,1
1125,0,63,19,1,1,1,1,1,0,0,0
592,0,2,81,0,0,1,1,0,0,1,1
3448,0,64,99,1,0,1,0,0,0,0,0
1823,0,20,20,1,1,1,0,1,0,0,0
6180,0,38,79,1,1,1,1,1,0,1,0
2341,0,13,74,1,0,1,1,1,0,1,0
6047,0,19,101,1,1,1,1,0,0,0,1
2834,0,69,109,0,1,1,0,0,1,0,0
6309,0,14,86,0,0,1,1,0,0,1,1
4498,1,8,61,1,0,1,0,0,1,0,0
4299,0,4,79,0,0,1,1,0,0,0,1
3637,0,13,75,0,0,1,0,0,0,0,1
2353,0,1,44,1,0,1,0,1,0,0,1
612,0,58,25,0,0,1,0,0,0,1,0
3549,0,11,51,0,1,0,0,0,0,1,0
2377,1,1,74,0,0,1,0,0,0,0,1
3238,0,47,25,1,1,1,0,0,0,1,0
5894,0,58,84,0,0,1,1,1,0,0,0
5487,0,69,21,1,1,1,0,0,1,0,0
285,1,1,86,0,0,1,1,1,1,0,1
6383,0,35,109,1,0,1,0,0,0,1,0
2429,0,70,20,1,1,1,0,1,1,0,0
2223,0,30,100,0,0,1,1,1,0,0,0
2524,0,72,66,0,1,0,0,0,0,1,0
6654,0,2,45,1,0,1,1,1,0,0,1
3325,0,61,19,0,1,1,1,1,0,0,1
3429,0,16,101,0,1,1,0,0,1,0,0
6830,0,66,92,0,0,1,0,0,0,1,0
4370,1,57,70,0,0,1,0,0,1,0,0
164,0,67,36,0,1,0,0,0,1,0,0
6947,0,56,97,1,1,1,1,1,1,0,0
4531,0,72,23,0,1,1,1,1,0,0,0
1490,0,69,105,1,1,1,1,0,1,0,0
1581,0,39,82,0,1,1,0,0,0,0,0
2215,0,21,71,0,0,1,0,0,0,1,0
1098,0,53,63,1,1,1,1,1,1,0,0
764,0,9,69,1,0,1,0,0,0,1,0
5879,0,15,49,1,0,1,0,0,0,1,0
4878,0,44,65,1,0,1,1,0,0,0,0
2046,0,2,71,1,0,1,0,0,0,0,1
6807,0,6,49,0,0,1,0,0,0,1,1
4113,0,60,81,0,0,1,0,0,1,0,0
6173,0,8,20,1,1,1,1,1,0,0,0
5828,0,1,26,0,0,1,1,0,0,1,0
6534,0,27,85,1,1,1,0,1,1,0,0
6829,1,64,20,1,0,1,0,0,0,1,0
1492,0,71,20,0,0,1,1,1,0,0,0
3491,0,49,60,1,1,1,0,0,1,0,0
3959,0,71,79,1,0,1,0,0,1,0,0
5056,0,17,94,1,0,1,1,0,0,1,1
283,0,45,19,1,0,1,1,0,0,0,0
5165,0,24,20,0,0,1,0,1,0,0,0
701,0,17,94,0,0,1,1,1,0,0,1
3241,0,67,111,0,0,1,0,0,0,0,0
1420,1,45,70,0,0,1,1,1,0,0,0
6477,0,70,86,0,0,1,1,1,0,1,0
5033,0,54,100,0,0,1,0,0,0,0,0
6903,0,18,56,1,0,1,1,0,1,0,0
3035,0,72,26,1,1,1,0,1,0,0,0
