,SeniorCitizen,tenure,MonthlyCharges,gender_1,Dependents_1,PhoneService_1,MultipleLines_1,InternetService_1,Contract_1,Contract_2
2142,0,0.8888888888888888,0.9009900990099011,1,1,1,0,0,1,0
1623,0,0.41666666666666663,0.01980198019801982,1,0,1,1,1,0,1
6074,0,0.06944444444444445,0.7524752475247525,1,0,1,0,0,0,0
1362,0,0.9444444444444444,0.9009900990099011,0,1,1,0,1,0,0
6754,0,0.125,0.26732673267326734,1,0,0,1,0,0,1
1212,0,1.0,0.06930693069306931,1,1,1,0,1,0,0
2722,0,0.375,0.3069306930693069,1,0,1,0,0,0,1
4006,0,0.4305555555555555,0.01980198019801982,0,1,1,0,0,0,1
6791,1,0.041666666666666664,0.5544554455445545,0,0,1,0,0,0,0
5466,0,0.7916666666666666,0.3564356435643565,1,0,0,0,0,1,0
5852,0,0.09722222222222221,0.5742574257425743,0,1,1,0,1,0,0
4195,0,0.75,0.8514851485148516,1,0,1,1,0,0,0
4166,1,0.9722222222222222,0.7128712871287128,1,0,1,0,0,1,0
5234,0,0.8194444444444444,0.8118811881188119,0,0,1,1,1,1,0
3414,0,0.18055555555555555,0.00990099009900991,0,0,1,0,0,0,1
1803,0,0.9166666666666666,0.5643564356435644,1,0,1,0,0,0,1
6203,0,0.7777777777777777,0.0297029702970297,1,1,1,1,1,1,0
5285,0,1.0,0.801980198019802,1,0,1,0,0,0,1
1323,0,0.013888888888888888,0.5148514851485149,1,0,1,1,0,0,1
5666,1,0.3333333333333333,0.22772277227722776,0,0,0,0,0,1,0
1941,0,0.9444444444444444,0.00990099009900991,0,1,1,0,0,0,0
6601,0,1.0,0.9405940594059408,1,0,1,1,1,0,1
1902,1,0.013888888888888888,0.5544554455445545,1,0,1,1,0,0,1
3704,0,0.41666666666666663,0.06930693069306931,0,1,1,1,0,1,0
387,0,1.0,0.9405940594059408,0,0,1,0,0,1,0
5550,0,0.736111111111111,0.7524752475247525,0,0,1,0,0,1,0
1032,0,0.1111111111111111,0.0297029702970297,0,0,1,0,1,0,0
4523,0,0.013888888888888888,0.27722772277227725,1,0,1,0,1,0,0
6582,0,0.736111111111111,0.5841584158415842,1,0,1,1,1,0,1
5587,1,0.41666666666666663,0.21782178217821785,0,0,0,0,1,1,0
3306,0,0.027777777777777776,0.24752475247524752,0,0,0,0,1,0,0
6625,1,0.19444444444444442,0.01980198019801982,1,0,1,1,1,0,0
3316,0,0.6527777777777778,0.45544554455445546,0,1,1,0,0,1,0
1010,0,0.5555555555555556,0.01980198019801982,0,1,1,0,0,0,0
3641,0,0.041666666666666664,0.5148514851485149,1,1,1,0,0,0,1
931,0,0.5833333333333333,0.8118811881188119,0,1,1,0,1,0,1
6352,0,0.7222222222222222,0.0297029702970297,1,1,1,1,1,0,0
691,0,0.41666666666666663,0.4950495049504951,1,1,1,1,0,1,0
533,0,0.3055555555555555,0.5742574257425743,0,1,1,1,1,1,0
6451,0,0.013888888888888888,0.1782178217821782,1,0,0,1,1,1,0
2227,0,0.4722222222222222,0.26732673267326734,1,1,0,0,0,1,0
652,0,0.19444444444444442,0.01980198019801982,1,1,1,0,0,0,1
33,0,0.7083333333333333,0.5148514851485149,0,1,1,0,0,0,0
4118,0,0.7222222222222222,0.31683168316831684,1,1,0,0,1,0,0
44,0,0.3472222222222222,0.7623762376237624,1,0,1,1,0,0,0
