SeniorCitizen,tenure,MonthlyCharges,gender_1,Dependents_1,PhoneService_1,MultipleLines_1,InternetService_1,Contract_1,Contract_2,Churn_1
0,0.8888888888888888,0.9009900990099012,1,1,1,0,0,1,0,0
0,0.4166666666666666,0.0198019801980198,1,0,1,1,1,0,1,1
0,0.0694444444444444,0.7524752475247525,1,0,1,0,0,0,0,0
0,0.9444444444444444,0.9009900990099012,0,1,1,0,1,0,0,0
0,0.125,0.2673267326732673,1,0,0,1,0,0,1,0
0,1.0,0.0693069306930693,1,1,1,0,1,0,0,0
0,0.375,0.3069306930693069,1,0,1,0,0,0,1,0
0,0.4305555555555555,0.0198019801980198,0,1,1,0,0,0,1,1
1,0.0416666666666666,0.5544554455445545,0,0,1,0,0,0,0,0
0,0.7916666666666666,0.3564356435643565,1,0,0,0,0,1,0,0
0,0.0972222222222222,0.5742574257425743,0,1,1,0,1,0,0,0
0,0.75,0.8514851485148516,1,0,1,1,0,0,0,1
1,0.9722222222222222,0.7128712871287128,1,0,1,0,0,1,0,1
0,0.8194444444444444,0.8118811881188119,0,0,1,1,1,1,0,0
0,0.1805555555555555,0.0099009900990099,0,0,1,0,0,0,1,0
0,0.9166666666666666,0.5643564356435644,1,0,1,0,0,0,1,0
0,0.7777777777777777,0.0297029702970297,1,1,1,1,1,1,0,0
0,1.0,0.801980198019802,1,0,1,0,0,0,1,0
0,0.0138888888888888,0.5148514851485149,1,0,1,1,0,0,1,0
1,0.3333333333333333,0.2277227722772277,0,0,0,0,0,1,0,0
0,0.9444444444444444,0.0099009900990099,0,1,1,0,0,0,0,0
0,1.0,0.9405940594059408,1,0,1,1,1,0,1,0
1,0.0138888888888888,0.5544554455445545,1,0,1,1,0,0,1,0
0,0.4166666666666666,0.0693069306930693,0,1,1,1,0,1,0,0
0,1.0,0.9405940594059408,0,0,1,0,0,1,0,0
0,0.736111111111111,0.7524752475247525,0,0,1,0,0,1,0,0
0,0.1111111111111111,0.0297029702970297,0,0,1,0,1,0,0,0
0,0.0138888888888888,0.2772277227722772,1,0,1,0,1,0,0,0
0,0.736111111111111,0.5841584158415842,1,0,1,1,1,0,1,0
1,0.4166666666666666,0.2178217821782178,0,0,0,0,1,1,0,0
0,0.0277777777777777,0.2475247524752475,0,0,0,0,1,0,0,0
1,0.1944444444444444,0.0198019801980198,1,0,1,1,1,0,0,0
0,0.6527777777777778,0.4554455445544554,0,1,1,0,0,1,0,0
0,0.5555555555555556,0.0198019801980198,0,1,1,0,0,0,0,1
0,0.0416666666666666,0.5148514851485149,1,1,1,0,0,0,1,1
0,0.5833333333333333,0.8118811881188119,0,1,1,0,1,0,1,1
0,0.7222222222222222,0.0297029702970297,1,1,1,1,1,0,0,0
0,0.4166666666666666,0.4950495049504951,1,1,1,1,0,1,0,0
0,0.3055555555555555,0.5742574257425743,0,1,1,1,1,1,0,0
0,0.0138888888888888,0.1782178217821782,1,0,0,1,1,1,0,0
0,0.4722222222222222,0.2673267326732673,1,1,0,0,0,1,0,0
0,0.1944444444444444,0.0198019801980198,1,1,1,0,0,0,1,0
0,0.7083333333333333,0.5148514851485149,0,1,1,0,0,0,0,0
0,0.7222222222222222,0.3168316831683168,1,1,0,0,1,0,0,1
0,0.3472222222222222,0.7623762376237624,1,0,1,1,0,0,0,0
0,0.9444444444444444,0.7326732673267327,0,0,1,0,0,0,0,0
0,0.4166666666666666,0.3762376237623763,1,0,1,0,1,0,0,0
1,0.125,0.6534653465346534,1,0,1,0,0,0,0,0
0,0.6388888888888888,0.5247524752475248,0,0,1,0,0,0,1,0
0,0.0277777777777777,0.7128712871287128,1,1,1,1,1,0,0,0
0,0.0555555555555555,0.3168316831683168,1,0,1,1,0,1,0,1
0,0.0138888888888888,0.7425742574257426,1,1,1,0,1,0,0,0
0,0.0138888888888888,0.0594059405940594,1,0,0,1,1,0,1,1
0,0.0972222222222222,0.0198019801980198,0,0,1,1,0,0,0,1
0,0.0416666666666666,0.613861386138614,1,0,1,1,1,0,0,0
0,0.4444444444444444,0.1683168316831683,0,1,0,1,1,1,0,1
0,0.25,0.7623762376237624,1,1,1,1,1,0,0,0
0,0.0555555555555555,0.7029702970297029,0,0,1,0,0,0,0,0
1,0.7638888888888888,0.3168316831683168,1,0,0,0,0,0,0,0
0,0.625,0.7029702970297029,0,0,1,1,1,0,0,0
0,0.875,0.5346534653465347,1,0,1,0,0,0,0,0
1,1.0,0.8415841584158417,1,0,1,0,0,1,0,0
1,0.986111111111111,0.7326732673267327,1,0,1,0,0,1,0,1
0,1.0,0.8217821782178218,0,0,1,0,0,1,0,0
0,0.9583333333333331,0.2772277227722772,0,1,0,1,1,0,0,0
0,0.125,0.7128712871287128,1,1,1,0,0,1,0,0
0,0.7916666666666666,0.3762376237623763,1,0,1,0,0,0,0,0
0,0.6805555555555555,0.4851485148514852,0,0,1,0,0,0,0,1
0,0.0138888888888888,0.2673267326732673,1,0,1,0,0,0,0,0
0,0.0555555555555555,0.3267326732673267,1,0,1,0,0,0,0,1
0,0.0555555555555555,0.5346534653465347,1,0,1,0,0,1,0,0
0,0.3055555555555555,0.396039603960396,1,1,1,0,1,0,0,0
0,0.6666666666666666,0.0198019801980198,1,0,1,1,0,0,1,0
0,0.7222222222222222,0.7722772277227723,1,0,1,0,0,0,1,1
1,1.0,0.4455445544554455,1,0,0,0,0,0,0,0
0,0.3611111111111111,0.5643564356435644,1,0,1,1,1,0,0,0
0,0.3194444444444444,0.0198019801980198,0,1,1,0,0,0,0,0
1,0.6666666666666666,0.1188118811881188,0,1,0,0,0,0,1,0
1,0.7083333333333333,0.5940594059405941,0,0,1,0,0,0,0,0
0,0.9583333333333331,0.603960396039604,1,0,1,0,1,0,0,0
0,0.0277777777777777,0.3663366336633664,1,0,1,0,0,1,0,1
0,0.2083333333333333,0.0198019801980198,0,1,1,1,1,0,1,0
0,0.6388888888888888,0.4554455445544554,0,0,1,1,1,0,0,0
0,0.125,0.3663366336633664,1,1,1,0,0,0,1,0
0,0.125,0.0099009900990099,1,0,1,0,1,0,0,0
0,0.0833333333333333,0.3267326732673267,0,0,0,0,1,0,0,0
0,0.0277777777777777,0.4356435643564356,1,0,1,0,0,0,0,0
1,0.0138888888888888,0.7029702970297029,0,0,1,0,0,0,1,0
0,0.7916666666666666,0.0198019801980198,0,1,1,0,1,0,0,1
